ma_golf_courses,,,,,,,,,,,,,,,,,,,,,,,,
name,address,city,state,zip,region,club_type,holes,par,course_rating,slope_rating,yardage,architect,description,price_min,price_max,price_tier,website_url,booking_url,lat,lng,photo_url,has_driving_range,has_practice_green,is_published
South Shore Country Club,274 South Street,Hingham,MA,2043,South Shore,public,18,,,,,Wayne Stiles,,,,,https://www.southshorecc.com/,https://www.southshorecc.com/162/Reserve-a-Tee-Time,42.231197,-70.899692,,,,FALSE
Southampton Country Club,329 College Highway,Southampton,MA,1073,Greater Springfield,public,18,,,,,John Strychary,Call for tee time (413) 527-9815,,,,https://www.southamptoncountryclub.com/,,42.209662,-72.725539,,,,FALSE
Southborough Golf Club,32 Cordaville Road,Southboro,MA,1772,Greater Worcester,public,9,,,,,"George Gardner, Stephen Kay",,,,,https://www.southboroughgolfclub.com/,https://www.golfrev.com/go/tee_times/?htc=330&courseid=3998&r=1,42.303019,-71.526885,,,,FALSE
Southers Marsh Golf Club,30 Southers Marsh Lane,Plymouth,MA,2360,South Shore,public,18,,,,,"Nick Filla, Dahn Tibbett",,,,,https://southersmarsh.com/,https://southersmarsh.teesnap.net/,41.894550,-70.710599,,,,FALSE
Springfield Country Club,1375 Elm Street,West Springfield,MA,1089,Greater Springfield,private,18,,,,,Donald Ross,,,,,https://www.springfieldccma.org/,,42.123689,-72.630640,,,,FALSE
Squirrel Run Golf Club,32 Elderberry Dr,Plymouth,MA,2360,South Shore,public,18,,,,,Ray Richards,,,,,https://www.golfatsquirrelrun.com/,https://www.golfatsquirrelrun.com/tee-times/,41.929718,-70.721747,,,,FALSE
St. Anne Country Club,781 Shoemaker Lane,Feeding Hills,MA,1030,Greater Springfield,public,18,,,,,Joseph Napolitan,,,,,https://www.stannecc.com/,https://st-anne-country-club.book.teeitup.golf/?course=13629&date=2026-05-25&max=999999,42.049477,-72.666855,,,,FALSE
Sterling National Country Club,33 Albright Road,Sterling,MA,1564,Greater Worcester,private,18,,,,,Michael Hurdzan,,,,,https://sterlingcc.com/,,42.452976,-71.725885,,,,FALSE
Stockbridge Golf Club,6A Main Street,Stockbridge,MA,1262,Berkshires,private,18,,,,,"Walter Nettleton, Joseph Franz",,,,,https://www.stockbridgegc.com/,,42.282606,-73.320244,,,,FALSE
Stow Acres Country Club,58 Randall Road,Stow,MA,1775,Greater Boston,public,36,,,,,Geoffrey Cornish,,,,,https://www.stowacres.com/,https://www.stowacres.com/,42.415965,-71.528126,,,,FALSE
Swansea Country Club,299 Market Street,Swansea,MA,2777,South Shore,public,27,,,,,Geoffrey S. Cornish,,,,,https://www.swanseacountryclub.com/,https://swansea.cps.golf/,41.761627,-71.274057,,,,FALSE
Swanson Meadows Golf Course,216 Rangeway Road,North Billerica,MA,1862,North Shore,public,9,,,,,Tim Gerish of Cornish Silva Mungean,,,,,https://www.swansonmeadows.com/,https://teewire.app/swansonmeadows/,42.567791,-71.310186,,,,FALSE
Taconic Golf Club,19 Meacham Street,Williamstown,MA,1267,Berkshires,private,18,,,,,"Wayne Stiles, John Van Kleek",,,,,https://taconicgolf.com/,,42.702950,-73.204285,,,,FALSE
Tatnuck Country Club,1222 Pleasant Street,Worcester,MA,1602,Greater Worcester,private,9,,,,,Donald Ross,,,,,https://tatnuckcc.com/,,42.275730,-71.861580,,,,FALSE
Tedesco Country Club,154 Tedesco St,Marblehead,MA,1945,North Shore,private,18,,,,,Eugene Skip Wogan,,,,,https://www.tedescocc.org/,,42.485213,-70.894311,,,,FALSE
Tekoa Country Club,459 Russell Rd,Westfield,MA,1085,Greater Springfield,public,18,,,,,Donald Ross,,,,,https://tekoacc.com/,https://tekoacc.com/book-a-tee-time,42.134553,-72.782120,,,,FALSE
Templewood Golf Course,160 Brooks Road,Templeton,MA,1468,Greater Worcester,public,18,,,,,Geoffrey Cornish,,,,,https://www.templewoodgolfcourse.com/,https://www.templewoodgolfcourse.com/tee-times/,42.589251,-72.063112,,,,FALSE
The Bay Club,63 County Road,Mattapoisett,MA,2739,South Shore,private,18,,,,,"Brad Faxon, Brad Booth",,,,,https://www.bayclubmatt.com/,,41.664999,-70.806916,,,,FALSE
The Bay Pointe Club,19 Bay Pointe Drive,Buzzards Bay,MA,2532,South Shore,public,18,,,,,Anthi Frangiadis,,,,,https://www.windwardpines.com/the-bay-pointe-club,https://www.golfnow.com/tee-times/facility/5948-the-bay-pointe-club/search#date=May+30+2026,41.752096,-70.639612,,,,FALSE
The Brookside Club,11 Brigadoon Road,Bourne,MA,2532,Cape Cod,public,18,,,,,Michael Hurdzan,,,,,https://www.golfbrookside.com/,https://www.golfbrookside.com/teetimes/,41.722692,-70.588026,,,,FALSE
The Cape Club,125 Falmouth Woods Road,East Falmouth,MA,2536,Cape Cod,private,18,,,,,"Jim Fazio, Chi Chi Rodriguez",,,,,https://www.capeclubresort.com/,,41.636732,-70.602346,,,,FALSE
The Cape Club of Sharon,25 Tiot Street,Sharon,MA,2067,Greater Boston,private,18,,,,,"Geoffrey S. Cornish, Craig Schreiner",,,,,https://thecapeclubofsharon.com/,,42.152589,-71.183240,,,,FALSE
The Club at New Seabury,95 Shore Drive West,Mashpee,MA,2649,Cape Cod,private,36,,,,,William Mitchell,,,,,https://www.newseabury.com/web/pages/home,,41.559703,-70.480675,,,,FALSE
The Country Club,191 Clyde Street,Brookline,MA,2446,Greater Boston,private,27,,,,,"Willie Campbell, William S. Flynn",2022 U.S. Open,,,,https://www.tcc1882.org/Club/Scripts/Home/home.asp,,42.314718,-71.146614,,,,FALSE
The Course at Tree House,1880 Main Street,Tewksbury,MA,1876,North Shore,public,9,,,,,Frank Stasio,,,,,https://treehousebrew.com/visiting-tewksbury,https://teewire.app/treehouse/,42.591581,-71.204367,,,,FALSE
The Golf Club at Turner Hill,3 Manor House Lane,Ipswich,MA,1938,North Shore,private,18,,,,,Fry Hurdzan,,,,,https://www.turnerhill.com/,,42.662689,-70.884340,,,,FALSE
The Golf Club at Southport,23 Southport Drive,Mashpee,MA,2649,Cape Cod,private,9,,,,,Phil Wogan,,,,,https://www.southportcc.com/,,41.620379,-70.509481,,,,FALSE
The Haven Country Club,369 Cross Street,Boylston,MA,1505,Greater Worcester,private,18,,,,,William F. Mitchell,,,,,https://www.invitedclubs.com/clubs/the-haven-country-club,,42.350908,-71.710663,,,,FALSE
The International,159 Ballville Road,Bolton,MA,1740,Greater Worcester,private,36,,,,,"Tom Fazio, Bill Coore, Ben Crenshaw",,,,,https://www.theinternational.com/,,42.431575,-71.647207,,,,FALSE
The Kittansett Club,11 Point Road,Marion,MA,2738,South Shore,private,18,,,,,"William Flynn, Frederic Hood",,,,,https://www.kittansett.org/,,41.677822,-70.717531,,,,FALSE
The Ledges Golf Club,18 Mulligan Drive,South Hadley,MA,1075,Greater Springfield,public,18,,,,,Howard Maurer,,,,,https://www.ledgesgc.com/,https://www.ledgesgc.com/tee-times/,42.239359,-72.607725,,,,FALSE
The Links at Mass Golf,300 W Main St,Norton,MA,2766,South Shore,public,18,,,,,,Tee times can be booked over the phone at 508-222-0555.,,,,https://www.linksatmassgolf.org/,,41.950531,-71.222758,,,,FALSE
The Links at Worthington,113 Ridge Road,Worthington,MA,1098,Berkshires,public,9,,,,,,,,,,https://worthingtongolfclub.com/,https://foreupsoftware.com/index.php/booking/19842/2691#/teetimes,42.407600,-72.942366,,,,FALSE
The Meadow at Peabody,80 Granite Street,Peabody,MA,1960,North Shore,public,18,,,,,Cornish Silva Mungeam,,,,,https://peabodymeadowgolf.com/,https://peabody.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23.999722222222225,42.514102,-70.938888,,,,FALSE
The Milton-Hoosic Club,70 Greenlodge Street,Canton,MA,2021,Greater Boston,private,9,,,,,Willie Park Jr,,,,,https://www.miltonhoosicclub.com/,,42.227993,-71.156537,,,,FALSE
The Ranch Golf Club,65 Sunnyside Road,Southwick,MA,1077,Greater Springfield,public,18,,,,,Damian Pascuzzo,,,,,https://www.theranchgolfclub.com/,,42.085146,-72.775102,,,,FALSE
The Ridge Club,70 Country Club Road,South Sandwich,MA,2563,Cape Cod,private,18,,,,,Robert Von Hagge,,,,,https://foreupsoftware.com/index.php/booking/21491/7962?_gl=1*1ip7a7b*_gcl_au*NTg1NTk0NzkzLjE3Nzk3NDM1NTg.*_ga*MjA3MDQ5MjUwNC4xNzc5NzQzNTU4*_ga_6427PNJG81*czE3Nzk3NDM1NTgkbzEkZzEkdDE3Nzk3NDM1NzMkajQ1JGwwJGgw&_ga=2.123153099.1360459519.1779743558-2070492504.1779743558#teetimes,,41.684209,-70.449282,,,,FALSE
The Stoneham Oaks Club,101R Montvale Ave,Stoneham,MA,2180,North Shore,public,9,,,,,,,,,,https://www.stonehamoaks.com/,https://stoneham-oaks-golf-course.book.teeitup.com/?course=13987&date=2026-05-25&max=999999,42.485639,-71.112915,,,,FALSE
The Woods of Westminster,90 Bean Porridge Hill Road,Westminster,MA,1473,Greater Worcester,public,18,,,,,Al Zikorus,Call for tee time 978-874-0500,,,,https://thewoodsofwestminster.com/,,42.586185,-71.879861,,,,FALSE
Thomas Memorial Golf & Country Club,29 Country Club Lane,Turners Falls,MA,1376,Greater Springfield,public,9,,,,,Walter Hatch,,,,,https://www.thomasmem.com/,https://foreupsoftware.com/index.php/booking/22549/11370#teetimes,42.594739,-72.562613,,,,FALSE
Thomson Country Club,2 Mid Iron Drive,North Reading,MA,1864,North Shore,private,18,,,,,Geoffrey S. Cornish,,,,,https://www.thomsoncc.com/PUBLIC/WELCOME.ASPX,,42.576282,-71.034770,,,,FALSE
Thorny Lea Golf Club,159 Torrey Street,Brockton,MA,2301,South Shore,private,18,,,,,"Wayne Stiles, John Van Kleek",,,,,https://www.thornyleagc.com/Club/Scripts/Home/home.asp,,42.077187,-71.047548,,,,FALSE
Touisset Country Club,221 Pearse Road,Swansea,MA,2777,South Shore,public,9,,,,,Raymond H. Brigham,,,,,https://www.touissetcc.com/,https://www.touissetcc.com/golf/book-a-tee-time,41.739190,-71.226538,,,,FALSE
TPC Boston,400 Arnold Palmer Blvd,Norton,MA,2766,South Shore,private,18,,,,,"Arnold Palmer, Gil Hanse",(508) 285-3200,,,,https://en.wikipedia.org/wiki/TPC_Boston,,41.982290,-71.223368,,,,FALSE
Trull Brook Golf Course,170 River Road,Tewksbury,MA,1876,North Shore,public,18,,,,,Geoffrey S. Cornish,,,,,https://trullbrook.com/,https://trullbrook.com/golf-course/,42.649638,-71.263680,,,,FALSE
Twin Hills Country Club,700 Wolf Swamp Road,Coventry,CT,1106,Greater Springfield,private,18,,,,,Al Zikorus,,,,,https://www.twinhillscc.com/,,42.040692,-72.536764,,,,FALSE
Unicorn Golf Club,460 William St,Stoneham,MA,2180,Greater Boston,public,9,,,,,Wayne Stiles,,,,,https://www.unicorngc.com/,https://unicorn-golf-course.book.teeitup.golf/?course=13988&date=2026-05-25&max=999999,42.488781,-71.112697,,,,FALSE
Vesper Country Club,185 Pawtucket Blvd,Tyngsboro,MA,1879,North Shore,private,18,,,,,"Donald Ross, Alexander H. Findlay",,,,,https://www.vespercc.com/,,42.654312,-71.392828,,,,FALSE
Veterans Memorial Golf Course,1059 South Branch Parkway,Springfield,MA,1108,Greater Springfield,public,18,,,,,Geoffrey S. Cornish,,,,,https://vets-franconia-golf.com/,https://foreupsoftware.com/index.php/booking/22869/12166#teetimes,42.102504,-72.504743,,,,FALSE
Vineyard Golf Club,100 Clubhouse Lane,Edgartown,MA,2539,Cape Cod,private,18,,,,,"Donald Steel, Tom McKenzie, Gil Hanse",,,,,https://www.vineyardgolf.com/,,41.390756,-70.558081,,,,FALSE
Wachusett Country Club,187 Prospect Street,West Boylston,MA,1583,Greater Worcester,public,18,,,,,Donald Ross,,,,,https://wachusettcc.com/,https://foreupsoftware.com/index.php/booking/20839#/login,42.358790,-71.792179,,,,FALSE
Wahconah Country Club,20 Orchard Road,Dalton,MA,1226,Berkshires,public,18,,,,,Wayne Stiles,,,,,https://wahconahcc.com/,https://wahconahcc.com/course/,42.474799,-73.144964,,,,FALSE
Walpole Country Club,233 Baker Street,Walpole,MA,2081,Greater Boston,private,18,,,,,Al Zikorus,,,,,https://www.walpolecc.com/,,42.135415,-71.233035,,,,FALSE
Wampatuck Country Club,99 Pleasant Garden Road,Canton,MA,2021,Greater Boston,private,9,,,,,Geoffrey S. Cornish,,,,,https://www.wampatuck.com/,,42.164582,-71.117874,,,,FALSE
Waubeeka Golf Links,137 New Ashford Road,Williamstown,MA,1267,Berkshires,public,18,,,,,"Rowland Armacost, Mark Mungeam",,,,,https://waubeeka.com/,https://waubeeka.com/golf/,42.653349,-73.250389,,,,FALSE
Waverly Oaks Golf Club,444 Long Pond Road,Plymouth,MA,2360,South Shore,public,27,,,,,Brian Silva,,,,,https://www.waverlyoaksgc.com/,https://www.waverlyoaksgc.com/tee-times,41.891598,-70.620192,,,,FALSE
Wayland Country Club,121 Old Sudbury Road,Wayland,MA,1778,Greater Boston,public,18,,,,,William F. Mitchell,,,,,https://www.wayland-country-club.com/,https://foreupsoftware.com/index.php/booking/21030/6536#/teetimes,42.378633,-71.375015,,,,FALSE
Weathervane Golf Club,117 Clubhouse Drive,Weymouth,MA,2190,South Shore,public,9,,,,,Cornish Silva Mungeam Maurer,,,,,https://www.weathervanegolfclub.com/,https://golf.weathervanegolfclub.com/,42.165894,-70.928228,,,,FALSE
Wedgewood Pines Country Club,215 Harvard Road,Stow,MA,1775,Greater Boston,private,18,,,,,Tom Devane,,,,,https://www.wedgewoodpines.com/,,42.445316,-71.532335,,,,FALSE
Wellesley Country Club,300 Wellesley Avenue,Wellesley,MA,2481,Greater Boston,private,18,,,,,Wayne Stiles,,,,,https://www.wellesleycc.com/,,42.303712,-71.258466,,,,FALSE
Wenham Country Club,94 Main Street,Wenham,MA,1984,North Shore,public,18,,,,,"Orrin Smith, William F. Mitchell",,,,,https://wenham.golf/,https://wenham.golf/,42.599885,-70.885370,,,,FALSE
Wentworth Hills Golf Club,27 Bow Street,Plainville,MA,2762,South Shore,public,18,,,,,Howard Maurer,,,,,https://www.wentworthhillscountryclub.com/,https://wentworthhills.cps.golf/,42.014317,-71.376200,,,,FALSE
West Bridgewater Country Club,250 East Center St.,W. Bridgewater,MA,2379,South Shore,public,18,,,,,"Philip Wogan, George Sargent",,,,,https://www.westbridgewatercc.com/,https://apimanager-cc31.clubcaddie.com/webapi/view/dafdabab/slots?date=05%2F25%2F2026&player=1&ratetype=any&Interaction=6jornnb1b57jehnc9g9fcefdac,42.019185,-70.994587,,,,FALSE
Westborough Golf Club,121 W Main St,Westborough,MA,1581,Greater Worcester,public,9,,,,,Tom Bendelow,,,,,https://westboroughgolfclub.com/,https://westboroughgolfclub.com/rates/,42.264001,-71.623858,,,,FALSE
Westminster Golf Club,51 Ellis Road,Westminster,MA,1473,Greater Worcester,public,18,,,,,Manuel L. Francis,,,,,https://www.westminstergc.com/,https://westminster-golf-club-ma.book.teeitup.com/?course=14066&date=2026-05-25&max=999999,42.541485,-71.928311,,,,FALSE
Weston Golf Club,275 Meadowbrook Road,Weston,MA,2493,Greater Boston,private,18,,,,,Donald Ross,,,,,https://www.westongolfclub.com/,,42.361092,-71.287652,,,,FALSE
Westover Golf Course,181 South Street,Granby,MA,1033,Greater Springfield,public,18,,,,,Orrin E. Smith,,,,,https://www.westovergolfcourse.com/,https://westover-golf-course.book.teeitup.com/?course=5059&date=2026-05-25&max=999999,42.219329,-72.527633,,,,FALSE
Whaling City Golf Course,581 Hathaway Rd,New Bedford,MA,2740,South Shore,public,18,,,,,Donald Ross,,,,,https://whalingcitygolfcourse.com/,https://whalingcitygc.teesnap.net/,41.655397,-70.962063,,,,FALSE
White Cliffs Country Club,1 East Cliff Drive,Plymouth,MA,2360,South Shore,private,18,,,,,Karl V. Litten,,,,,https://www.whitecliffscc.com/,,41.817309,-70.543567,,,,FALSE
Whitinsville Golf Club,179 Fletcher St.,Whitinsville,MA,1588,Greater Worcester,private,9,,,,,Donald Ross,,,,,https://whitinsvillegolf.com/,,42.106482,-71.658992,,,,FALSE
Wianno Golf Club,389 Parker Road,Osterville,MA,2655,Cape Cod,private,18,,,,,Donald Ross,,,,,https://www.wiannoclub.com/,,41.618383,-70.385282,,,,FALSE
Widows Walk Golf Course,250 The Driftway,Scituate,MA,2066,South Shore,public,18,,,,,"Michael Hurdzan, Dana Fry",,,,,https://widowswalkgolf.com/,https://foreupsoftware.com/index.php/booking/20615/5120?_gl=1*1tp6ifz*_ga*OTk2NDkwMzU1LjE3Nzk3NDUwMDk.*_ga_WQPLP348DP*czE3Nzk3NDUwMDgkbzEkZzAkdDE3Nzk3NDUwMDgkajYwJGwwJGgw#/teetimes,42.177111,-70.736557,,,,FALSE
William J Devine Golf Course,1 Circuit Dr.,Dorchester,MA,2121,Greater Boston,public,18,,,,,Willie Campbell,,,,,https://cityofbostongolf.com/william-j-devine-golf-course/,https://williamjdevine.cps.golf/,42.299994,-71.092860,,,,FALSE
Willowbend,100 Willowbend Dr.,Mashpee,MA,2649,Cape Cod,private,27,,,,,Michael Hurdzan,,,,,https://willowbendcapecod.com/,,41.622750,-70.461211,,,,FALSE
Winchester Country Club,468 Mystic Street,Winchester,MA,1890,Greater Boston,private,18,,,,,Donald Ross,,,,,https://www.winchestercc.org/,,42.435711,-71.156552,,,,FALSE
Winthrop Golf Club,453 Main Street,Winthrop,MA,2152,Greater Boston,private,9,,,,,"William F. Mitchell, Al Zikorus",,,,,https://winthropgolfclub.com/,,42.377122,-70.977713,,,,FALSE
Woburn Country Club,1 Country Club Road,Woburn,MA,1801,Greater Boston,public,9,,,,,,Please call the Golf Shop to schedule a Tee Time (781) 933-9880,,,,https://www.woburncountryclub.com/index.html,,42.462459,-71.166948,,,,FALSE
Wollaston Golf Club,999 Randolph Avenue,Milton,MA,2186,Greater Boston,private,18,,,,,"George Fazio, Thomas Fazio, Wayne Stiles",,,,,https://www.wollastongc.org/,,42.237500,-71.078747,,,,FALSE
Woodland Golf Club,1897 Washington Street,Auburndale,MA,2466,Greater Boston,private,18,,,,,Donald Ross,,,,,https://www.woodlandgolfclub.com/,,42.335887,-71.245305,,,,FALSE
Woods Hole Golf Club,130 Quissett Ave,Woods Hole,MA,2543,Cape Cod,private,18,,,,,Wayne Stiles,,,,,https://www.woodsholegolfclub.com/,,41.534473,-70.663663,,,,FALSE
Worcester Country Club,2 Rice Street,Worcester,MA,1606,Greater Worcester,private,18,,,,,Donald Ross,,,,,https://www.worcestercc.org/,,42.321778,-71.778559,,,,FALSE
Wyantenuck Country Club,46 West Sheffield Road,Great Barrington,MA,1230,Berkshires,private,18,,,,,Charles Banks,,,,,https://www.wyantenuck.org/,,42.170026,-73.377501,,,,FALSE
Wyckoff Country Club,233 Easthampton Road,Holyoke,MA,1040,Greater Springfield,public,18,,,,,Donald Ross,,,,,https://wyckoffcountryclub.com/,https://wyckoffcountryclub.com/,42.226032,-72.641281,,,,FALSE
Wyndhurst Manor and Club,55 Lee Road,Lenox,MA,1240,Berkshires,public,18,,,,,"Wayne Stiles, John Van Kleek",,,,,https://wyndhurstgolfandclub.com/,https://wyndhurstclub.berkshires.miravalresorts.com/?_ga=2.222102616.1182089653.1779745728-1693705239.1779745728#/golfBooking/location/502/001/2026-05-26,42.3665,-73.2711,,,,FALSE
